hotel_id,hotel_name,rating,no_reviews,hotel_link
10966,Pan Pacific Hanoi,4.5,4975.0,"https://www.google.com/maps/place/Pan+Pacific+Hanoi/@21.0499731,105.839611,17z/data=!4m9!3m8!1s0x3135abea6bc08943:0x26fe222a6d057b05!5m2!4m1!1i2!8m2!3d21.0499731!4d105.839611!16s%2Fg%2F1ttp_l5c?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10969,Khách sạn Bông Sen Sài Gòn,4.3,228.0,"https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+B%C3%B4ng+Sen+S%C3%A0i+G%C3%B2n/@10.7751022,106.7037693,17z/data=!4m9!3m8!1s0x31752f19b5a8c9c5:0x7d9002af9f6b3c04!5m2!4m1!1i2!8m2!3d10.7751022!4d106.7037693!16s%2Fg%2F11kr_hv32h?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10967,Sunway Hotel Hanoi,4.4,1436.0,"https://www.google.com/maps/place/Sunway+Hotel+Hanoi/@21.0160045,105.8572404,17z/data=!4m9!3m8!1s0x3135abf23735ac03:0xd5b8723fe1fa655e!5m2!4m1!1i2!8m2!3d21.0160045!4d105.8572404!16s%2Fm%2F0hgmz9f?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10971,Caravelle Hotel,4.5,4256.0,"https://www.google.com/maps/place/Caravelle+Hotel/@10.7762617,106.7036128,17z/data=!4m9!3m8!1s0x31752f467a55ff73:0x10584ab251c7f7b6!5m2!4m1!1i2!8m2!3d10.7762617!4d106.7036128!16s%2Fm%2F02qgt3s?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10972,Hotel Continental Saigon,4.4,3719.0,"https://www.google.com/maps/place/Hotel+Continental+Saigon/@10.7768949,106.7025025,17z/data=!4m9!3m8!1s0x31752f48098c0da3:0x71bd0afc663e612e!5m2!4m1!1i2!8m2!3d10.7768949!4d106.7025025!16s%2Fm%2F03cw7gr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10974,Hotel Grand Saigon,4.4,4028.0,"https://www.google.com/maps/place/Hotel+Grand+Saigon/@10.7742233,106.7053451,17z/data=!4m9!3m8!1s0x31752f3c8833587f:0xe885be248fe82b5b!5m2!4m1!1i2!8m2!3d10.7742233!4d106.7053451!16s%2Fg%2F1211r7t0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10976,Sofitel Saigon Plaza,4.7,7219.0,"https://www.google.com/maps/place/Sofitel+Saigon+Plaza/@10.7840772,106.7025694,17z/data=!4m9!3m8!1s0x31752f4a31bb5fa5:0x4cf66d74bb667b4b!5m2!4m1!1i2!8m2!3d10.7840772!4d106.7025694!16s%2Fg%2F1tg7php1?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10975,Equatorial Ho Chi Minh City,4.4,4784.0,"https://www.google.com/maps/place/Equatorial+Ho+Chi+Minh+City/@10.763075,106.6791469,17z/data=!4m9!3m8!1s0x31752f1e7a594605:0x1ef81c568253c68d!5m2!4m1!1i2!8m2!3d10.763075!4d106.6791469!16s%2Fg%2F1tkbvqjy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10977,Hương Sen Hotel,4.2,1055.0,"https://www.google.com/maps/place/H%C6%B0%C6%A1ng+Sen+Hotel/@10.7751494,106.7043837,17z/data=!4m9!3m8!1s0x31752f4802af4703:0xbd81718cd3cc4a3!5m2!4m1!1i2!8m2!3d10.7751494!4d106.7043837!16s%2Fg%2F1tdl3myn?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10978,Royal Hotel Saigon,4.4,2774.0,"https://www.google.com/maps/place/Royal+Hotel+Saigon/@10.774645,106.7025442,17z/data=!4m9!3m8!1s0x31752f471c942639:0xec17d9a5fd2d30b7!5m2!4m1!1i2!8m2!3d10.774645!4d106.7025442!16s%2Fg%2F1vs5t5t2?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10979,Hotel Majestic Saigon,4.5,1763.0,"https://www.google.com/maps/place/Hotel+Majestic+Saigon/@10.7727782,106.7061879,17z/data=!4m9!3m8!1s0x31752f4406baaaab:0xff561f153cb92bf6!5m2!4m1!1i2!8m2!3d10.7727782!4d106.7061879!16s%2Fg%2F11hd21cclp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10981,New World Saigon Hotel,4.6,10906.0,"https://www.google.com/maps/place/New+World+Saigon+Hotel/@10.7708719,106.6951897,17z/data=!4m9!3m8!1s0x31752f3e8eddf565:0x2ab6e5fe92c2e5d7!5m2!4m1!1i2!8m2!3d10.7708719!4d106.6951897!16s%2Fg%2F1tf_dxq8?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10983,Eastin Grand Hotel Saigon,4.4,3198.0,"https://www.google.com/maps/place/Eastin+Grand+Hotel+Saigon/@10.7964431,106.6735687,17z/data=!4m9!3m8!1s0x3175292969c6365f:0xa2a350d51940a725!5m2!4m1!1i2!8m2!3d10.7964431!4d106.6735687!16s%2Fg%2F11bym_dzlv?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10984,Oscar Saigon Hotel,3.8,1146.0,"https://www.google.com/maps/place/Oscar+Saigon+Hotel/@10.7748014,106.7033222,17z/data=!4m9!3m8!1s0x31752f46fad6f715:0xae95253f98f671e3!5m2!4m1!1i2!8m2!3d10.7748014!4d106.7033222!16s%2Fg%2F1tdkd3th?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10985,Khách sạn Palace Sài Gòn,4.0,425.0,"https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Palace+S%C3%A0i+G%C3%B2n/@10.7744445,106.7036769,17z/data=!4m9!3m8!1s0x31752f14d309f713:0xd800960846b8b202!5m2!4m1!1i2!8m2!3d10.7744445!4d106.7036769!16s%2Fg%2F11l2wt46js?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10987,Liberty Hotel Saigon Parkview,3.9,1272.0,"https://www.google.com/maps/place/Liberty+Hotel+Saigon+Parkview/@10.76812,106.692326,17z/data=!4m9!3m8!1s0x31752f4c0531095b:0x5a04da96843cab58!5m2!4m1!1i2!8m2!3d10.76812!4d106.692326!16s%2Fg%2F11xljl1mj?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10990,Riverside Hotel Saigon,3.8,442.0,"https://www.google.com/maps/place/Riverside+Hotel+Saigon/@10.7738092,106.7062876,17z/data=!4m9!3m8!1s0x317529e2dc7b1429:0x2d4abd3f8eab3d14!5m2!4m1!1i2!8m2!3d10.7738092!4d106.7062876!16s%2Fg%2F11l2gdgvnl?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10989,Rex Hotel,4.4,8338.0,"https://www.google.com/maps/place/Rex+Hotel/@10.7758454,106.7012646,17z/data=!4m9!3m8!1s0x31752f479e4f95db:0xcae127d5b519b548!5m2!4m1!1i2!8m2!3d10.7758454!4d106.7012646!16s%2Fm%2F027_w3l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
10991,Saigon Prince Hotel (Formerly Duxton Hotel Saigon),4.1,2356.0,"https://www.google.com/maps/place/Saigon+Prince+Hotel+(Formerly+Duxton+Hotel+Saigon)/@10.7728099,106.7040688,17z/data=!4m9!3m8!1s0x31752f46cbafffff:0xbbeda6738fc69a7c!5m2!4m1!1i2!8m2!3d10.7728099!4d106.7040688!16s%2Fg%2F11j00snk_w?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
